,title,price
64,Podcrash,Rp 99.000
65,Take a Trip Down Memory Lane,Rp 64.000
66,Boulevard of Wedding Dreams,Rp 120.000
67,Babel : Pertumpahan Darah Sejarah Gelap Revolusi,Rp 179.100
68,Tabi,Rp 151.200
69,Toko Buku Kucing Hitam,Rp 85.500
70,Parnassus Keliling,Rp 58.500
71,The It Girl,Rp 159.000
72,Buddha 4: Hutan Uruwela,Rp 88.000
73,Aksara Amananunna (2024),Rp 70.400
74,Alucard,Rp 99.000
75,Serenity,Rp 99.000
76,Heartbreak Motel *Ket: Buku berjaket cover film,Rp 99.000
77,Silverstone,Rp 116.100
78,TeenLit: Jingga dalam Elegi,Rp 79.200
79,Hati Bertulang (Heart Bones),Rp 99.000
80,Romansa Stovia,Rp 120.000
81,Hotel Magnifique,Rp 116.100
82,The Dragons Promise,Rp 134.100
83,Grizella Sang Antagonis,Rp 89.100
84,Horor Tanah Jawa : Tumbal Genderuwo,Rp 61.650
85,Catatan Harian Menantu Sinting,Rp 63.200
86,Take A Chance With Sabimaraya,Rp 89.100
87,I'm In Law With You,Rp 89.100
88,Sepotong Senja untuk Pacarku (edisi 2022),Rp 72.000
89,Regret : Ginan & Nada,Rp 79.200
90,Sebelas Malam,Rp 79.200
91,Chezalova,Rp 88.200
92,Anjanu,Rp 84.600
93,Karacotah Rumah Teka-Teki,Rp 88.000
94,Iblis Menjelma Senapan Berburu,Rp 62.100
95,Teori Pernikahan Bahagia,Rp 80.100
96,Ada Zombie Di Sekolah,Rp 89.100
97,Hiranya dan Margonda,Rp 89.100
98,Misteri Asrama,Rp 89.100
99,Kamar 807,Rp 89.100
100,Bendung Kehilangan,Rp 63.000
101,Cewek Problematik,Rp 89.100
102,14 Days Isabella,Rp 89.100
103,Kisah Untuk Alana,Rp 89.100
104,Anjungan Losari,Rp 89.100
105,Sui Generis,Rp 89.100
106,Risalah Teh & Tiga Keluarga,Rp 67.500
107,Pulang Nak Ummi Rindu,Rp 89.100
108,Cinta Untuk Nala,Rp 89.100
109,"Bias, Obsesi",Rp 55.200
110,Yang Dihantui (She is Haunting),Rp 87.200
111,3G VS 4G,Rp 89.100
112,Sang Agen Rahasia,Rp 94.500
113,Toko Jajanan Ajaib Zenitendo 1,Rp 56.000
114,Arsena (New Cover),Rp 98.100
115,Aku Manusia Kamu Bukan Tuhan,Rp 70.400
116,A Long Journey But It's Still You,Rp 89.100
117,Athallah Al-Habibie,Rp 89.100
118,Rerasanan 1,Rp 72.000
119,Atharrazka 2 : Aryan,Rp 89.100
120,Rare,Rp 98.100
121,Misadventures Season,Rp 99.000
122,Akasha : The Skull Starts Moving In The Dark Night - Season 4,Rp 46.400
123,Dunia Sophie Novel Grafis Filsafat: Dari Socrates hingga Galileo,Rp 112.500
124,Cundrik,Rp 63.000
125,Love And Let Go New Cover,Rp 89.100
126,Hi Rafdy,Rp 85.500
127,Merelakan Sam (You've Reached Sam),Rp 79.200
128,Kitab Suci Kesatria Cahaya (Manual of the Warrior of the Light),Rp 47.200
129,Cerpen Pilihan Kompas 2014 Di Tubuh Tarra,Rp 85.500
130,Cerpen Pilihan Kompas 2013 Klub Solidaritas Suami Hilang,Rp 85.500
131,LiT: Efek Domino,Rp 84.000
132,Bek: Sebuah Novel,Rp 88.200
133,Ketos Galak,Rp 89.550
134,City Lite: Perhatikan Celah Peron,Rp 86.400
135,Secret High School,Rp 89.100
136,Yang Fana adalah Waktu,Rp 62.400
137,Mari Pergi Lebih Jauh,Rp 87.200
138,Agensi Rumah Tangga,Rp 71.200
139,"Princess, Bajak Laut & Alien",Rp 79.200
140,Toko Jajanan Ajaib Zenitendo 4,Rp 56.000
141,Sheerquit,Rp 71.100
142,Hidangan Di Atas Awan,Rp 71.200
143,"Jini, Jinny",Rp 79.200
144,The Ex-Talk,Rp 87.200
145,Kronik Kematian (Chronicle of A Death Foretold),Rp 55.200
146,Kami (Bukan) Generasi Bac*t,Rp 79.200
147,The Gladiator,Rp 88.000
148,The Treasure Map of Boys,Rp 80.000
149,Enola Holmes Dan Ekskursi Elegan,Rp 63.200
150,Tube,Rp 82.000
151,Kasus Pembunuhan Honjin,Rp 109.600
152,Petaka Keluarga Inugami,Rp 91.200
153,Book's Kitchen,Rp 72.800
154,Masquerade Hotel,Rp 128.000
155,Light Novel Detektif Conan: Masumi Sera Selection - Detective Returning from Abroad,Rp 64.400
156,Kemelut Rondasih dan Dua Anaknya,Rp 118.800
157,KAMI (BUKAN) JONGOS BERDASI,Rp 109.600
158,GPU 50: SANG ALKEMIS,Rp 79.500
159,Istana Merah (The Red Palace),Rp 100.400
160,GARIS BATAS,Rp 137.200
161,Pangeran Cilik (The Little Prince) (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 54.400
162,MetroPop: Summer in Seoul (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 82.000
163,TeenLit: Dealova (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 82.000
164,HR: ROMANSA JENTELMEN SKOTLANDIA,Rp 109.600
165,"Tenang Saja, Nanti juga Terlewati",Rp 64.400
166,Dune Mesias,Rp 109.600
167,Lelap Dalam Lautan Bintang (To Sleep in a Sea of Stars#1),Rp 118.800
168,Creepy Case Club 3: Kasus Kutukan Congklak 2024,Rp 60.000
169,Creepy Case Club 2: Kasus Si Anak Indigo 2024,Rp 60.000
170,Welcome To The Hyunam-Dong Bookshop : Selamat Datang Di Toko,Rp 118.800
171,Kamu Tidak Istimewa,Rp 133.600
172,Awal Antara Kita (It Starts with Us),Rp 100.400
173,Pulang (2023),Rp 149.500
174,Sisi Tergelap Surga,Rp 91.200
175,5 Cm. Edisi 2024,Rp 118.800
176,Light Novel: Stand By Me Doraemon,Rp 69.200
177,Pukul Setengah Lima,Rp 82.000
178,Keluarga Cemara#1,Rp 91.200
179,Teka Teki Rumah Aneh,Rp 72.800
180,Stories for Rainy Days,Rp 124.400
181,We Hunt the Flame: Memburu Api,Rp 142.800
182,Episode Hujan,Rp 77.200
183,One Punch Man 10,Rp 32.400
184,English Classics: Sherlock Holmes - Short Stories#1,Rp 45.200
185,Pada Sebuah Kapal (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 90.000
186,Ronggeng Dukuh Paruk (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 100.400
187,Karmila (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 91.200
188,The Boyfriend List,Rp 90.000
189,Light Novel Detektif Conan: Full Score of Fear,Rp 64.400
190,Manuskrip yang Ditemukan di Accra,Rp 63.600
191,Jatisaba (Cover 2024),Rp 91.200
192,Dompet Ayah Sepatu Ibu,Rp 80.800
193,Malam Seribu Jahanam,Rp 128.000
194,English Classics: Alice's Adventures in Wonderland,Rp 45.200
195,Nadira,Rp 126.500
196,Solo Leveling 4,Rp 106.000
197,Santri Pilihan Bunda Spesial Edition,Rp 102.600
198,Five Nights At Freddys,Rp 299.000
199,A School Frozen In Time Book 1,Rp 80.800
200,Logika Asa,Rp 115.200
201,"Ngobrol Berdua, Jatuh Cintanya Sendirian",Rp 54.400
202,BUNGO STRAY DOGS 5 - BEAST,Rp 90.000
203,Segelas Kopi Buat Pak Guru,Rp 44.000
204,Akasha : The Skull Starts Moving in the Dark Night - Season 2,Rp 50.800
205,Death Note - Another Note The Los Angeles Bb Murder Cases -,Rp 165.600
206,Mahajana,Rp 102.600
207,The School For Good And Evil 6: Raja Sejati,Rp 198.000
208,Malioboro at Midnight,Rp 107.100
209,Kisah Hantu-Hantu Di Nusantara,Rp 67.500
210,True Colors,Rp 102.600
211,Cake Shop,Rp 102.600
212,Iyan Bukan Anak Tengah,Rp 102.600
213,The School for Good and Evil 5 - Kristal Waktu,Rp 216.400
214,Kisah Misteri Enola Holmes - Misteri Nona Bertangan Kidal,Rp 72.800
215,Perempuan Rok Ungu,Rp 62.100
216,Panduan Jalan-Jalan Aman Bersama Mama Macan,Rp 79.200
217,City Lite: Behind the Scenes,Rp 86.400
218,Pulau Pendidaktis,Rp 89.100
219,Sma Sekali Lagi,Rp 89.100
220,Pulau Batu di Samudra Buatan,Rp 63.200
221,Dongeng Tentang Kebahagiaan,Rp 78.300
222,Kehilangan Masa Kecil : Prekuel Legenda,Rp 89.100
223,Pasutri Kampret,Rp 85.500
224,Zero Byte,Rp 89.100
225,Orang Pertama Tunggal,Rp 63.200
226,A Lovely Thing Called Hope,Rp 81.000
227,Lock Screen,Rp 89.910
228,Sherena,Rp 89.100
229,The Shadow of Sakura (Kasus #3 Sugi dan Laura),Rp 73.600
230,Misteri Andong Pocong : Teror Lonceng Kematian Tengah Malam,Rp 53.550
231,Kost Pak Raden,Rp 89.100
232,Risol Mas Marvel : Extended Version,Rp 89.100
233,Private Bodyguard (Extended Version),Rp 89.100
234,Jane’s Magical Salon,Rp 94.500
235,Her Second Choice,Rp 89.550
236,Tumbal Kosan Bu Andin,Rp 89.100
237,Rewrite My Heart : Extended Version,Rp 89.100
238,You Are The Reason,Rp 89.100
239,Class 7e,Rp 89.100
240,Forever More,Rp 85.500
241,Sarinten : Tumbal Kali Tempur,Rp 80.550
242,Creepy Case Club 6: Kasus Hantu Panggung,Rp 48.000
243,L Change The World,Rp 144.000
244,Lautan dan Dendamnya,Rp 92.000
245,Altezza,Rp 89.100
246,Lofarsa,Rp 98.100
247,Arwah,Rp 56.000
248,Bebas Tanggungan,Rp 79.200
249,At Bertram's Hotel (Hotel Bertram),Rp 55.200
250,Hidden Beauty,Rp 89.550
251,The Star Diaries: Catatan Perjalanan Angkasa Luar (2024),Rp 95.200
252,Nirmala,Rp 55.200
253,Perempuan dan Anak-Anaknya (2024),Rp 95.000
254,Yang Tertinggal Darinya (Reminders of Him),Rp 87.200
255,Toko Jajanan Ajaib Zenitendo 5,Rp 56.000
256,Nonik Jamu,Rp 63.200
257,Algasya,Rp 93.600
258,Pacar Rasa Selingkuhan,Rp 78.400
259,Archipelagos The Serandji Book Of Nusantara 2,Rp 89.100
260,Goodbye Alezra,Rp 89.100
261,Momo,Rp 71.200
262,The Book of Forbidden Feelings,Rp 95.200
263,Derana,Rp 80.100
264,Kita Terlalu Lucu Untuk Diseriusin : “Orang Bukan Siapa-Siapa”,Rp 71.100
265,Hansel Milsya,Rp 89.100
266,Kasus Nona Elliott,Rp 79.200
267,Kiblat Cinta,Rp 99.000
268,Serenada,Rp 79.200
269,Laut Sebelum Pasang,Rp 71.100
270,Dalam Dekapan Cinta Ibu (Kisah-kisah penuh makna para ibu dalam menanti kelahiran dan membersamai buah hati),Rp 64.000
271,Di Waktu Duha,Rp 98.100
272,Matahari Minor,Rp 94.500
273,Arini dan Takdir,Rp 89.100
274,Berdarah Di Atas Kertas,Rp 89.100
275,Loreng & Putih,Rp 85.500
276,Leodan,Rp 89.100
277,May I Have A Perfect Yellow Like You ?,Rp 89.100
278,About You,Rp 89.100
279,Tangan Kotor Di Balik Layar,Rp 53.100
280,Starless Night,Rp 89.100
281,Damarez,Rp 89.100
282,Rahasia Nusantara: Candi Misterius Wangsa Syailendra,Rp 79.200
283,Guruku Sahabatku : Based On True Story,Rp 43.200
284,Denial,Rp 89.550
285,The Little Light Amola,Rp 63.000
286,Bertaut Rindu,Rp 88.200
287,Rara Mendut,Rp 87.600
288,KOMIK AL-BIRUNI GURU SEGALA ILMU,Rp 67.500
289,KOMIK KHULAFAUR RASYIDIN UTSMAN BIN AFFAN #3,Rp 108.900
290,Rumus Ciuman Sempurna (Kiss Quotient),Rp 79.200
291,Menyelamatkan Teete (Parole Teetee),Rp 55.200
292,Kenangan Manis Takkan Pernah Habis,Rp 55.200
293,The Snatched and The Snapped,Rp 71.200
294,Lit: Left Unsaid,Rp 88.000
295,Pengantin Setan,Rp 79.200
296,Rumah di Mango Street (The House on Mango Street),Rp 55.200
297,Tragedi Pedang Keadilan,Rp 103.200
298,"Laiqa: Hijab For Sisters: Dia Ibu Yang Harus Dihormati, Fayla!",Rp 65.600
299,Light Novel: STAND BY ME DORAEMON 02,Rp 60.000
300,Seperti Sungai yang Mengalir,Rp 71.200
301,Historical Romance: Bukan Kekasih Impian (When a Rogue Meets His Match),Rp 95.200
302,Seandainya,Rp 103.200
303,Si Buku Bengis Kecil#2: Semakin Berbahaya,Rp 95.200
304,Si Buku Bengis Kecil#1,Rp 95.200
305,Serikat Anjing Mandiri,Rp 72.000
306,Mickey7,Rp 95.200
307,Perempuan di Rumah No.8,Rp 79.200
308,The Night Swim,Rp 94.400
309,Harlequin Koleksi Istimewa: Pengantin Taipan Yunani (Promoted to The Greek's Wife),Rp 55.200
310,Buku Panduan Matematika Terapan (Sampul 2024),Rp 95.200
311,Rumus Kebenaran Musim Panas: A Midsummer`s Equation (Manatsu no Hoteishiki),Rp 95.200
312,Balada Burung Penyanyi dan Ular (The Ballad of Songbirds & Snakes),Rp 119.200
313,The Richest Man In Babylon (2023),Rp 79.200
314,Mengingat Yang Perlu Diingat,Rp 95.200
315,Ketujuh Suami Evelyn Hugo (The Seven Husbands of Evelyn Hugo),Rp 103.200
316,Classics: Berkeliling Dunia di Bawah Laut (Twenty Thousand Leagues Under the Sea),Rp 63.200
317,Corat-coret di Toilet,Rp 63.200
318,Laiqa: Berapa Jarak antara Luka dan Rumahmu?,Rp 72.000
319,Ziarah (Pilgrimage),Rp 60.000
320,Hierofani,Rp 85.000
321,Sepotong Kisah di Balik 98: Cerita Pilihan Dee Lestari,Rp 89.100
322,English Classics: The Wonderful Wizard of Oz,Rp 39.200
323,"Hi, Goodbye",Rp 85.500
324,Pemeran Utama,Rp 89.100
325,Rintik Terakhir,Rp 89.100
326,Hangmans Holiday,Rp 76.500
327,Romeo dan Juliet : Sebuah Tragedi Cinta,Rp 62.550
328,You Belong To Me,Rp 89.100
329,Jadi Ibu,Rp 89.550
330,Laila Tak Pulang,Rp 76.500
331,The Door To Door Bookstore,Rp 89.100
332,Preambule : Matoshi Family,Rp 89.100
333,Stuck With You,Rp 80.550
334,Slow Motion,Rp 89.100
335,Our Home,Rp 89.100
336,Alvaska 2,Rp 89.100
337,4 Masa 1 Mimpi,Rp 85.050
338,A Dog Called Money,Rp 71.100
339,The Most Beautiful Little Secret,Rp 94.500
340,Kemah Terlarang,Rp 69.300
341,Teror Pocong Duloh,Rp 69.300
342,I'm Not Stupid !,Rp 89.100
343,Weddings Smuggler,Rp 89.100
344,I Want to Live With You,Rp 89.100
345,Lintang Hukum,Rp 89.100
346,Masked Ward,Rp 99.900
347,Actor & Author,Rp 101.700
348,Little Magacal Piya New Edition,Rp 98.100
349,Midnight Diaries,Rp 89.100
350,Bimalara Cinta,Rp 85.500
351,Petunjuk Lilin yang Terpuntir,Rp 70.200
352,Love Eve,Rp 85.050
353,Say Love,Rp 98.100
354,Suami Dua Digit,Rp 89.100
355,Our Secret,Rp 85.500
356,Adibintang,Rp 89.100
357,Gamon!: Gagal Move On!,Rp 88.200
358,Hilmy Milan (New Edition),Rp 89.100
359,Castevel,Rp 89.550
360,Dinikahi Ustadz Tampan,Rp 89.100
361,Pengulangan Dosa,Rp 69.300
362,5Th Of December,Rp 89.100
363,Infinity Love,Rp 89.100
364,Dream Book,Rp 89.910
365,Hidden You,Rp 89.910
366,Keluarga Jamaludin,Rp 89.910
367,Wahai Azarine,Rp 89.100
368,Metamorfosa,Rp 85.500
369,Di Balik Daun Bertepi Lima,Rp 80.550
370,Miraculous,Rp 85.500
371,Ngunduh Jiwo,Rp 69.300
372,Mengeja Luka,Rp 69.300
373,Monologue,Rp 71.100
374,Hi Awan,Rp 89.100
375,Albiandra The Untold Story,Rp 89.100
376,Astaradika,Rp 89.100
377,Kita Butuh Kapasitas Semesta,Rp 89.550
378,Merayakan Kesedihan,Rp 71.100
379,Thallashopile,Rp 89.100
380,Yang Telah Lama Pergi,Rp 94.500
381,Strawberry Cloud,Rp 89.100
382,A Piece Of Tales (A Tale Of Love),Rp 89.100
383,Shagara Dirga,Rp 89.100
384,December With You,Rp 89.550
385,Narendra Podcast Rumah Maheza,Rp 89.100
386,Naverra dan Juru Diet,Rp 89.100
387,Tiap Luka Mengubahmu,Rp 62.550
388,Arzel,Rp 89.100
389,Jika Lukamu Sedalam Laut : Ikhlasmu Harus Seluas Langit,Rp 60.300
390,More Than Home Bucinable 2,Rp 89.100
391,Senja di Alaska,Rp 89.100
392,Clover,Rp 80.100
393,Anne of Avonlea,Rp 80.100
394,Sincerpity,Rp 98.100
395,Sherlock Holmes : Lembah Ketakutan,Rp 62.550
396,If We Make It Through December,Rp 99.000
397,Housemate,Rp 89.100
398,Ayahku (Bukan) Pembohong,Rp 85.500
399,"We Call it, Home (Private Bodyguard 2)",Rp 89.100
400,Dallergut 2 : Toko Penjual Mimpi,Rp 85.500
401,Galaksi Kejora,Rp 89.100
402,Sunyi Paling Riuh,Rp 89.100
403,Alegori,Rp 67.500
404,Romansa Kota Bandung,Rp 89.100
405,Kumpulan Kisah Hantu & Legenda Horor Korea,Rp 53.550
406,Sherlock Holmes Anjing Iblis Dari Baskervilles,Rp 79.650
407,Heaven,Rp 89.100
408,Si Anak Savana,Rp 85.500
409,The Camarro,Rp 89.550
410,Angkasa,Rp 89.100
411,Retak,Rp 85.500
412,1984 - Republish.,Rp 98.100
413,Milea Suara Dari Dilan,Rp 80.100
414,Muhammad Al-Fatih # 3 : Penaklukan,Rp 99.000
415,Namaku Alam,Rp 120.000
416,Selena,Rp 94.500
417,Matahari,Rp 94.500
418,Sagaras,Rp 94.500
419,Novel Dilan 2:Dia Adalah Dilanku Tahun 1991,Rp 80.100
420,Risol Mas Marvel,Rp 89.100
421,REVISWEET,Rp 87.200
422,Kesendirian Mahaluas (The Great Alone),Rp 151.200
423,The Black Cat And Other Stories,Rp 80.100
424,Surat untuk Kinasih (Special Order),Rp 68.000
425,Kaleidoscope of Fate,Rp 78.400
426,KALEIDOSCOPE OF MEMORY,Rp 79.200
427,Anak Bajang Mengayun Bulan (2024),Rp 130.400
428,OBLIVIATE,Rp 98.100
429,7 SAYAP PENDOSA,Rp 89.100
430,BENNY THE BEAR LOVES THE QUARTER BACK,Rp 108.000
431,NDORO DARMABUMI,Rp 89.100
432,HALEMORRA,Rp 89.100
433,SEOUL LOST IN LOVE,Rp 89.100
434,KUKIRA AKU TAK SANGGUP JADI IBU,Rp 103.500
435,Akasha : The Skull Starts Moving In The Dark Night - Season 3,Rp 46.400
436,The Boy Book,Rp 70.400
437,ZFC KITA SEMUA BERHAK SEMBUH,Rp 98.550
438,"This Winter, To You Who Will Be Gone",Rp 70.400
439,Respati - Malam Pencabut Nyawa,Rp 65.600
440,DURI DAN KUTUK,Rp 87.200
441,"One, Two, Buckle My Shoe (Satu, Dua, Pasang Gesper Sepatunya)",Rp 55.200
442,KEMUNING CINTA TANPA BICARA,Rp 102.600
443,MEMORI SANG PRIMADONA,Rp 69.300
444,PLAY WITH PLAYERS,Rp 89.910
445,HARMONY,Rp 89.100
446,RITUAL SETAN,Rp 69.300
447,CERITA SINGKAT YANG DIBERI UMUR PANJANG OLEH INGATAN,Rp 62.100
448,CLUMSY SISI,Rp 89.100
449,IF DYING WAS A BEAUTIFUL THING,Rp 85.500
450,TeenLit: Fairish (Edisi Cover Spesial HUT GPU 50 Tahun),Rp 71.200
451,"Lupus: Tangkaplah Daku, Kau Kujitak! (Edisi Cover Spesial HUT GPU 50 Tahun)",Rp 55.200
452,ATLAS,Rp 89.100
453,Writers & Writing,Rp 76.000
454,Kota Para Pecundang,Rp 89.100
455,Jagat Alam Gaib : Sinden Gaib,Rp 69.300
456,Gionaya,Rp 89.100
457,Alster Lake (New Edition),Rp 103.500
458,Gara-Gara Abang,Rp 89.100
459,The Journey Of Storytelling,Rp 71.550
460,Jij Bent Mooi,Rp 107.100
461,We Shouldnt Be Like This,Rp 89.100
462,Perfect Partner,Rp 99.000
463,Papah Bumi Dan Bumi,Rp 89.100
464,Staring at You,Rp 89.100
465,Darren Margantara,Rp 98.100
466,Gloomy Sunday,Rp 59.400
467,You Had Me At Hello,Rp 89.100
468,Wuthering Heights,Rp 89.550
469,Hello Globantara,Rp 89.100
470,MIDNIGHT IN DECEMBER,Rp 89.100
471,MAYAT PEREMPUAN DI DANAU,Rp 76.500
472,SEPOTONG COKLAT UNTUK TUHAN : NEW COVER,Rp 31.500
473,DIA JANGAN SAMPAI TAHU AKU MENCINTAINYA,Rp 63.000
474,DIA RAZI,Rp 85.500
475,Not For It Folks,Rp 74.400
476,Sentuhan Emas,Rp 67.200
477,PENEBUSAN,Rp 67.500
478,ANONYMOUS CRUSH,Rp 89.100
479,DANUSAN IM IN LOVE,Rp 89.100
480,HOROR KAMPUS,Rp 60.750
481,WAYAHE NGOPI 3,Rp 67.500
482,HE`S MY BOYFRIEND,Rp 89.100
483,Historical Romance: Berawal dari Skandal (First Comes Scandal),Rp 87.200
484,Ther Melian: Renascent,Rp 84.000
485,City Lite: My Younger Brother,Rp 88.000
486,Midnight Prince,Rp 64.000
487,The Night Mark,Rp 88.000
488,Pergi Dan Kembali (Ferryman),Rp 99.000
489,Perang Penghabisan (The Chaos Walking #3: Monsters of Men),Rp 205.000
490,Like A Momentary Ray Between Clouds,Rp 65.600
491,The Yearling,Rp 77.600
492,Metropop: Jakarta Rock 'N' Roll,Rp 54.400
493,Gong Nyai Gandrung,Rp 56.000
494,Kitab Kencan,Rp 96.000
495,Relung Rasa Raisa,Rp 63.200
496,Dora Bruder,Rp 54.400
497,Kumpulan Kisah Terbaik Miss Marple (The Best Of Miss Marple),Rp 128.000
498,Perempuan-Perempuan Kelu (The Silence of the Girls),Rp 95.200
499,One of Us is Lying : Satu Pembohong,Rp 85.600
500,Sang Informan (The Whistler),Rp 92.000
501,English Classics: Black Beauty,Rp 47.200
502,Novel Mawar Tak Berduri (Sad Cypress),Rp 63.200
503,Malam Tanpa Akhir (Endless Night),Rp 55.200
504,English Classics: Daddy Long Legs,Rp 39.200
505,English Classics: The Happy Prince and Other Tales,Rp 39.200
506,Tiga Putri Anuspati,Rp 89.100
507,The Hidden Reality,Rp 89.100
508,Pengetahuan Baru Umat Manusia,Rp 54.000
509,Frankenstein,Rp 71.550
510,Percayalah Ada Harapan Untuk Kita,Rp 76.500
511,Act Of Money,Rp 89.100
512,Sky Academy,Rp 98.100
513,The Happiness Inside The Box,Rp 35.550
514,Getting Closer,Rp 80.100
515,My Youth New Edition,Rp 99.000
516,1984,Rp 71.550
517,Hanna & Syaugi,Rp 63.000
518,Jangan Cuek!,Rp 98.100
519,Asavella,Rp 103.500
520,Kale Dan Erina,Rp 89.100
521,1.080 Vian,Rp 89.100
522,Ravendra,Rp 89.100
523,The Glory Story Of Two Umars,Rp 85.500
524,"Unmong,A Youngman Became A Homemaker",Rp 94.500
525,Horor Tanah Jawa,Rp 62.550
526,Pasien,Rp 67.500
527,Laut Pasang 2,Rp 89.100
528,Fingerprint,Rp 62.100
529,The Sea Explorers and The Giant Octopus,Rp 97.200
530,"Hold On, It Hurts Happy Version",Rp 89.100
531,Cake Shop (Extended Version),Rp 89.100
532,Asya Story Spesial Edition,Rp 89.100
533,Konstelasi Emosi,Rp 125.100
534,THE BISCUITS,Rp 70.400
535,The Dance Of Love,Rp 96.000
536,THE EXTRAORDINARY ADVENTURES OF ARSENE LUPIN,Rp 62.100
537,TIDAK ADA MANUSIA JAHAT DI DUNIA,Rp 116.100
538,SANG PEMENANG BERDIRI SENDIRIAN,Rp 119.000
539,Paracosm D'Arte,Rp 78.400
540,Pingkan Melipat Jarak,Rp 60.000
541,MetroPop: My Perfect Imperfection,Rp 68.000
542,HELLO AKSARA,Rp 87.300
543,Rahasia - Rahasia Kecil (Little Secrets),Rp 88.000
544,Salt to the Sea (New Edition),Rp 84.000
545,Silent Demon,Rp 62.400
546,Before May,Rp 99.000
547,MANUSKRIP YANG DITEMUKAN DI ACCRA (MANUSCRITO ENCONTRADO EM,Rp 44.000
548,Anggara Kasih,Rp 91.200
549,BTS Odyssey: 7 Anak Muda yang Menuntunku Menemukan Diriku Kembali,Rp 95.200
550,HIPOTESIS CINTA,Rp 87.200
551,CHRISTIAN SIMAMORA LEMONADE,Rp 107.100
552,THE ADVENTURES OF HUCKLEBERRY FINN,Rp 71.550
553,Lentera Takdir,Rp 89.550
554,Keep Up with Us!,Rp 72.000
555,Ragam Ni Si Marian,Rp 178.200
556,5 Cm Deluxe Edition,Rp 196.000
557,Bungo Stray Dogs 4,Rp 78.400
558,Second Hope,Rp 79.200
559,Heaven,Rp 63.200
560,Out of the Blueprint,Rp 70.400
561,Unperfect Marriage,Rp 76.000
562,Dallergut : Toko Penjual Mimpi,Rp 76.500
